,model_name,original_length,num_stable,num_unique,num_sun_materials,num_ssun,num_correct_sg
0,qwen_7b_wyckoff_sft_extrapolate_2_temp0.7,942,154,121,125,81,659
0,plaid_it6_temp1.1_samples_extrapolate_2,984,206,138,156,106,830
